train_number,train_name,station_code,station_name,arrival_time,departure_time,distance_km,day_of_journey,runs_on_days
12082,Train,QLN,Kollam Jn,15:45,15:47,65.0,1,M-WTF-S
12082,Train,KYJ,Kayankulam Jn,16:22,16:23,106.0,1,M-WTF-S
12082,Train,MVLK,Mavelikara,16:32,16:33,114.0,1,M-WTF-S
12082,Train,CNGR,Chengannur,16:43,16:45,126.0,1,M-WTF-S
12082,Train,TRVL,Tiruvalla,16:54,16:55,135.0,1,M-WTF-S
12082,Train,CGY,Changanaseri,17:03,17:04,143.0,1,M-WTF-S
12082,Train,KTYM,Kottayam,17:32,17:35,161.0,1,M-WTF-S
12082,Train,ERN,Ernakulam Town,19:00,19:03,223.0,1,M-WTF-S
12082,Train,AWY,Aluva,19:19,19:21,240.0,1,M-WTF-S
12082,Train,TCR,Thrisur,20:18,20:20,295.0,1,M-WTF-S
12082,Train,SRR,Shoranur Jn,21:10,21:15,327.0,1,M-WTF-S
12082,Train,TIR,Tirur,21:54,21:55,372.0,1,M-WTF-S
12082,Train,CLT,Kozhikkode,22:37,22:40,413.0,1,M-WTF-S
12082,Train,BDJ,Vadakara,23:14,23:15,460.0,1,M-WTF-S
12082,Train,TLY,Thalassery,23:34,23:35,482.0,1,M-WTF-S
12082,Train,CAN,Kannur,00:50,--,502.0,1,M-WTF-S
12201,Train,LTT,Lokmanyatilak T,--,16:45,0.0,1,M---F--
12201,Train,TNA,Thane,17:02,17:05,18.0,1,M---F--
12201,Train,PNVL,Panvel,17:40,17:45,53.0,1,M---F--
12201,Train,RN,Ratnagiri,23:30,23:35,415.0,1,M---F--
12201,Train,MAO,Madgaon,04:00,04:10,750.0,1,M---F--
12201,Train,KAWR,Karwar,05:02,05:04,832.0,1,M---F--
12201,Train,ANKL,Ankola,05:28,05:30,871.0,1,M---F--
12201,Train,BYNR,Mookambika Road,07:38,07:40,1007.0,1,M---F--
12201,Train,UD,Udupi,08:50,08:52,1099.0,1,M---F--
12201,Train,MAJN,Mangaluru Jn,10:25,10:30,1180.0,1,M---F--
12201,Train,KGQ,Kasaragod,11:09,11:10,1227.0,1,M---F--
12201,Train,CAN,Kannur,12:17,12:20,1313.0,1,M---F--
12201,Train,CLT,Kozhikkode,13:52,13:55,1402.0,1,M---F--
12201,Train,TIR,Tirur,14:29,14:30,1443.0,1,M---F--
12201,Train,SRR,Shoranur Jn,15:30,15:35,1488.0,1,M---F--
12201,Train,TCR,Thrisur,16:17,16:20,1521.0,1,M---F--
12201,Train,ERN,Ernakulam Town,17:35,17:40,1592.0,1,M---F--
12201,Train,KTYM,Kottayam,18:37,18:40,1655.0,1,M---F--
12201,Train,CGY,Changanaseri,18:56,18:57,1672.0,1,M---F--
12201,Train,TRVL,Tiruvalla,19:06,19:07,1680.0,1,M---F--
12201,Train,CNGR,Chengannur,19:17,19:19,1689.0,1,M---F--
12201,Train,KYJ,Kayankulam Jn,19:40,19:42,1710.0,1,M---F--
12201,Train,QLN,Kollam Jn,20:27,20:30,1750.0,1,M---F--
12201,Train,TVCN,TRIVANDRUMNORTH,22:45,--,1809.0,1,M---F--
12202,Train,TVCN,TRIVANDRUMNORTH,--,07:45,0.0,1,---T--S
12202,Train,QLN,Kollam Jn,08:37,08:40,59.0,1,---T--S
12202,Train,KYJ,Kayankulam Jn,09:23,09:25,100.0,1,---T--S
12202,Train,CNGR,Chengannur,09:48,09:50,120.0,1,---T--S
12202,Train,TRVL,Tiruvalla,09:59,10:00,129.0,1,---T--S
12202,Train,CGY,Changanaseri,10:08,10:09,137.0,1,---T--S
12202,Train,KTYM,Kottayam,10:27,10:30,155.0,1,---T--S
12202,Train,ERN,Ernakulam Town,11:40,11:45,217.0,1,---T--S
12202,Train,TCR,Thrisur,12:57,13:00,288.0,1,---T--S
12202,Train,SRR,Shoranur Jn,14:10,14:15,321.0,1,---T--S
12202,Train,TIR,Tirur,14:54,14:55,366.0,1,---T--S
12202,Train,CLT,Kozhikkode,15:32,15:35,407.0,1,---T--S
12202,Train,CAN,Kannur,16:37,16:40,496.0,1,---T--S
12202,Train,KGQ,Kasaragod,17:44,17:45,582.0,1,---T--S
12202,Train,MAJN,Mangaluru Jn,19:10,19:15,629.0,1,---T--S
12202,Train,UD,Udupi,21:08,21:10,710.0,1,---T--S
12202,Train,BYNR,Mookambika Road,22:14,22:16,802.0,1,---T--S
12202,Train,ANKL,Ankola,23:50,23:52,938.0,1,---T--S
12202,Train,KAWR,Karwar,00:22,00:24,978.0,1,---T--S
12202,Train,MAO,Madgaon,01:45,01:55,1060.0,1,---T--S
12202,Train,RN,Ratnagiri,06:50,06:55,1394.0,1,---T--S
12202,Train,PNVL,Panvel,12:55,13:00,1756.0,1,---T--S
12202,Train,TNA,Thane,13:41,13:43,1791.0,1,---T--S
12202,Train,LTT,Lokmanyatilak T,14:40,--,1808.0,1,---T--S
12431,Train,TVC,Trivandrum Cntl,--,14:40,0.0,1,-T-TF--
12431,Train,QLN,Kollam Jn,15:34,15:36,65.0,1,-T-TF--
12431,Train,ALLP,Alleppey,16:53,16:55,149.0,1,-T-TF--
12431,Train,ERS,Ernakulam Jn,18:25,18:30,206.0,1,-T-TF--
12431,Train,TCR,Thrisur,20:05,20:07,280.0,1,-T-TF--
12431,Train,SRR,Shoranur Jn,20:55,21:00,313.0,1,-T-TF--
12431,Train,CLT,Kozhikkode,22:17,22:20,399.0,1,-T-TF--
12431,Train,CAN,Kannur,23:37,23:40,488.0,1,-T-TF--
12431,Train,KGQ,Kasaragod,00:44,00:45,574.0,1,-T-TF--
12431,Train,MAJN,Mangaluru Jn,01:45,01:50,621.0,1,-T-TF--
12431,Train,UD,Udupi,03:20,03:22,702.0,1,-T-TF--
12431,Train,KAWR,Karwar,06:18,06:20,969.0,1,-T-TF--
12431,Train,MAO,Madgaon,07:50,08:00,1051.0,1,-T-TF--
12431,Train,RN,Ratnagiri,12:40,12:45,1386.0,1,-T-TF--
12431,Train,PNVL,Panvel,17:52,17:55,1748.0,1,-T-TF--
12431,Train,BSR,Vasai Road,19:30,19:35,1815.0,1,-T-TF--
12431,Train,ST,Surat,22:15,22:18,2030.0,1,-T-TF--
12431,Train,BRC,Vadodara Jn,23:51,23:59,2159.0,1,-T-TF--
12431,Train,RTM,Ratlam Jn,03:47,03:50,2421.0,1,-T-TF--
12431,Train,KOTA,Kota Jn,06:45,06:55,2687.0,1,-T-TF--
12431,Train,NZM,H Nizamuddin,12:30,--,3144.0,1,-T-TF--
12432,Train,NZM,H Nizamuddin,--,06:16,0.0,1,-TW---S
12432,Train,KOTA,Kota Jn,10:45,10:55,458.0,1,-TW---S
12432,Train,RTM,Ratlam Jn,14:02,14:05,724.0,1,-TW---S
12432,Train,BRC,Vadodara Jn,17:27,17:37,986.0,1,-TW---S
12432,Train,ST,Surat,19:14,19:17,1115.0,1,-TW---S
12432,Train,BSR,Vasai Road,21:40,21:45,1330.0,1,-TW---S
12432,Train,PNVL,Panvel,22:57,23:00,1397.0,1,-TW---S
12432,Train,RN,Ratnagiri,03:50,03:55,1759.0,1,-TW---S
12432,Train,MAO,Madgaon,08:25,08:35,2094.0,1,-TW---S
12432,Train,KAWR,Karwar,09:26,09:28,2176.0,1,-TW---S
12432,Train,UD,Udupi,12:48,12:50,2443.0,1,-TW---S
12432,Train,MAJN,Mangaluru Jn,14:05,14:10,2524.0,1,-TW---S
12432,Train,KGQ,Kasaragod,14:49,14:50,2571.0,1,-TW---S
12432,Train,CAN,Kannur,16:07,16:10,2657.0,1,-TW---S
12432,Train,CLT,Kozhikkode,17:32,17:35,2746.0,1,-TW---S
12432,Train,SRR,Shoranur Jn,19:20,19:25,2832.0,1,-TW---S
12432,Train,TCR,Thrisur,20:08,20:10,2865.0,1,-TW---S
12432,Train,ERS,Ernakulam Jn,21:25,21:30,2939.0,1,-TW---S
12432,Train,ALLP,Alleppey,22:28,22:30,2996.0,1,-TW---S
12432,Train,QLN,Kollam Jn,00:03,00:05,3080.0,1,-TW---S
12432,Train,TVC,Trivandrum Cntl,01:50,--,3144.0,1,-TW---S
12511,Train,GKP,Gorakhpur Jn,--,06:33,0.0,1,---TF-S
12511,Train,KLD,Khalilabad,07:09,07:11,35.0,1,---TF-S
12511,Train,BST,Basti,07:35,07:37,65.0,1,---TF-S
12511,Train,MUR,Mankapur Jn,08:21,08:23,126.0,1,---TF-S
12511,Train,GD,Gonda Jn,08:51,08:54,154.0,1,---TF-S
12511,Train,BBK,Barabanki Jn,10:25,10:27,243.0,1,---TF-S
12511,Train,BNZ,Badshahnagar,11:00,11:03,267.0,1,---TF-S
12511,Train,ASH,Aishbagh,11:35,11:45,276.0,1,---TF-S
12511,Train,ON,Unnao Jn,12:40,12:42,332.0,1,---TF-S
12511,Train,CNB,Kanpur Central,13:12,13:17,349.0,1,---TF-S
12511,Train,PHN,Pokhrayan,14:15,14:17,409.0,1,---TF-S
12511,Train,ORAI,Orai,14:51,14:53,456.0,1,---TF-S
12511,Train,VGLJ,V Lakshmibai Jhansi Jhs,16:45,16:53,570.0,1,---TF-S
12511,Train,LAR,Lalitpur Jn,17:48,17:50,660.0,1,---TF-S
12511,Train,BPL,Bhopal  Jn,20:55,21:00,861.0,1,---TF-S
12511,Train,ET,Itarsi Jn,22:40,22:50,953.0,1,---TF-S
12511,Train,GDYA,Ghoradongri,23:50,23:51,1023.0,1,---TF-S
12511,Train,BZU,Betul,00:30,00:32,1060.0,1,---TF-S
12511,Train,AMLA,Amla Jn,00:52,00:54,1082.0,1,---TF-S
12511,Train,PAR,Pandhurna,01:50,01:52,1146.0,1,---TF-S
12511,Train,NGP,Nagpur,03:55,04:00,1250.0,1,---TF-S
12511,Train,SEGM,Sevagram,04:58,05:00,1326.0,1,---TF-S
12511,Train,HGT,Hinganghat,05:28,05:30,1363.0,1,---TF-S
12511,Train,CD,Chandrapur,06:33,06:35,1447.0,1,---TF-S
12511,Train,BPQ,Balharshah,07:35,07:40,1461.0,1,---TF-S
12511,Train,SKZR,Sirpur Kagazngr,08:34,08:35,1531.0,1,---TF-S
12511,Train,BPA,Bellampalli,08:59,09:00,1569.0,1,---TF-S
12511,Train,MCI,Manchiryal,09:15,09:16,1589.0,1,---TF-S
12511,Train,RDM,Ramagundam,09:25,09:26,1603.0,1,---TF-S
12511,Train,WL,Warangal,11:18,11:20,1703.0,1,---TF-S
12511,Train,KMT,Khammam,12:44,12:45,1811.0,1,---TF-S
12511,Train,BZA,Vijayawada Jn,15:20,15:30,1911.0,1,---TF-S
12511,Train,CLX,Chirala,16:43,16:45,2000.0,1,---TF-S
12511,Train,OGL,Ongole,17:28,17:30,2049.0,1,---TF-S
12511,Train,NLR,Nellore,18:58,19:00,2165.0,1,---TF-S
12511,Train,GDR,Gudur Jn,19:48,19:50,2203.0,1,---TF-S
12511,Train,MAS,Mgr Chennai Ctl,22:40,23:10,2341.0,1,---TF-S
12511,Train,KPD,Katpadi Jn,01:05,01:10,2470.0,1,---TF-S
12511,Train,JTJ,Jolarpettai,02:18,02:20,2554.0,1,---TF-S
12511,Train,SA,Salem Jn,03:47,03:50,2674.0,1,---TF-S
12511,Train,ED,Erode Jn,04:50,05:00,2736.0,1,---TF-S
12511,Train,TUP,Tiruppur,05:43,05:45,2787.0,1,---TF-S
12511,Train,CBE,Coimbatore Jn,06:42,06:45,2837.0,1,---TF-S
12511,Train,PGT,Palakkad Jn,07:55,08:00,2891.0,1,---TF-S
12511,Train,OTP,Ottappalam,08:24,08:25,2923.0,1,---TF-S
12511,Train,WKI,Wadakancheri,08:52,08:53,2952.0,1,---TF-S
12511,Train,TCR,Thrisur,09:12,09:15,2968.0,1,---TF-S
12511,Train,IJK,Irinjalakuda,09:37,09:38,2992.0,1,---TF-S
12511,Train,CKI,Chalakudi,09:45,09:46,2999.0,1,---TF-S
12511,Train,AFK,Angamali,10:03,10:04,3014.0,1,---TF-S
12511,Train,AWY,Aluva,10:16,10:18,3023.0,1,---TF-S
12511,Train,ERN,Ernakulam Town,10:38,10:40,3040.0,1,---TF-S
12511,Train,ERS,Ernakulam Jn,10:55,11:00,3042.0,1,---TF-S
12511,Train,SRTL,Cherthala,11:31,11:32,3076.0,1,---TF-S
12511,Train,ALLP,Alleppey,11:52,11:55,3099.0,1,---TF-S
12511,Train,AMPA,Ambalappuzha,12:06,12:07,3111.0,1,---TF-S
12511,Train,HAD,Harippad,12:25,12:26,3130.0,1,---TF-S
12511,Train,KYJ,Kayankulam Jn,12:48,12:50,3143.0,1,---TF-S
12511,Train,QLN,Kollam Jn,13:30,13:33,3183.0,1,---TF-S
12511,Train,TVCN,TRIVANDRUMNORTH,15:40,--,3242.0,1,---TF-S
12512,Train,TVCN,TRIVANDRUMNORTH,--,06:35,0.0,1,-TW---S
12512,Train,QLN,Kollam Jn,07:32,07:35,59.0,1,-TW---S
12512,Train,KYJ,Kayankulam Jn,08:18,08:20,100.0,1,-TW---S
12512,Train,HAD,Harippad,08:34,08:35,113.0,1,-TW---S
12512,Train,AMPA,Ambalappuzha,08:50,08:51,131.0,1,-TW---S
12512,Train,ALLP,Alleppey,09:02,09:05,143.0,1,-TW---S
12512,Train,SRTL,Cherthala,09:24,09:25,167.0,1,-TW---S
12512,Train,ERS,Ernakulam Jn,10:30,10:35,200.0,1,-TW---S
12512,Train,AWY,Aluva,11:05,11:07,219.0,1,-TW---S
12512,Train,AFK,Angamali,11:17,11:18,228.0,1,-TW---S
12512,Train,CKI,Chalakudi,11:33,11:34,244.0,1,-TW---S
12512,Train,IJK,Irinjalakuda,11:44,11:45,250.0,1,-TW---S
12512,Train,TCR,Thrisur,12:15,12:18,274.0,1,-TW---S
12512,Train,WKI,Wadakancheri,12:38,12:39,290.0,1,-TW---S
12512,Train,OTP,Ottappalam,13:19,13:20,319.0,1,-TW---S
12512,Train,PGT,Palakkad Jn,13:45,13:50,351.0,1,-TW---S
12512,Train,CBE,Coimbatore Jn,15:20,15:25,405.0,1,-TW---S
12512,Train,TUP,Tiruppur,16:05,16:10,456.0,1,-TW---S
12512,Train,ED,Erode Jn,16:55,17:05,506.0,1,-TW---S
12512,Train,SA,Salem Jn,17:55,18:00,568.0,1,-TW---S
12512,Train,JTJ,Jolarpettai,19:43,19:45,688.0,1,-TW---S
12512,Train,KPD,Katpadi Jn,20:50,20:55,772.0,1,-TW---S
12512,Train,MAS,Mgr Chennai Ctl,23:05,23:35,902.0,1,-TW---S
12512,Train,GDR,Gudur Jn,01:13,01:15,1039.0,1,-TW---S
12512,Train,NLR,Nellore,01:44,01:45,1077.0,1,-TW---S
12512,Train,OGL,Ongole,03:19,03:20,1193.0,1,-TW---S
12512,Train,CLX,Chirala,04:04,04:05,1243.0,1,-TW---S
12512,Train,BZA,Vijayawada Jn,05:35,05:45,1332.0,1,-TW---S
12512,Train,KMT,Khammam,07:19,07:20,1431.0,1,-TW---S
12512,Train,WL,Warangal,08:48,08:50,1539.0,1,-TW---S
12512,Train,RDM,Ramagundam,10:09,10:10,1640.0,1,-TW---S
12512,Train,MCI,Manchiryal,10:29,10:30,1653.0,1,-TW---S
12512,Train,BPA,Bellampalli,10:49,10:50,1673.0,1,-TW---S
12512,Train,SKZR,Sirpur Kagazngr,11:29,11:30,1712.0,1,-TW---S
12512,Train,BPQ,Balharshah,12:40,12:45,1781.0,1,-TW---S
12512,Train,CD,Chandrapur,13:00,13:02,1795.0,1,-TW---S
12512,Train,HGT,Hinganghat,14:13,14:15,1879.0,1,-TW---S
12512,Train,SEGM,Sevagram,14:58,15:00,1916.0,1,-TW---S
12512,Train,NGP,Nagpur,16:30,16:35,1992.0,1,-TW---S
12512,Train,PAR,Pandhurna,17:53,17:55,2096.0,1,-TW---S
12512,Train,AMLA,Amla Jn,18:58,19:00,2160.0,1,-TW---S
12512,Train,BZU,Betul,19:18,19:20,2183.0,1,-TW---S
12512,Train,GDYA,Ghoradongri,19:55,19:56,2219.0,1,-TW---S
12512,Train,ET,Itarsi Jn,21:55,22:05,2289.0,1,-TW---S
12512,Train,BPL,Bhopal  Jn,23:40,23:45,2388.0,1,-TW---S
12512,Train,LAR,Lalitpur Jn,02:24,02:26,2589.0,1,-TW---S
12512,Train,VGLJ,V Lakshmibai Jhansi Jhs,03:35,03:43,2679.0,1,-TW---S
12512,Train,ORAI,Orai,04:58,05:00,2792.0,1,-TW---S
12512,Train,PHN,Pokhrayan,05:37,05:39,2840.0,1,-TW---S
12512,Train,CNB,Kanpur Central,07:55,08:05,2900.0,1,-TW---S
12512,Train,ON,Unnao Jn,08:31,08:33,2917.0,1,-TW---S
12512,Train,ASH,Aishbagh,09:40,09:50,2972.0,1,-TW---S
12512,Train,BNZ,Badshahnagar,10:10,10:13,2982.0,1,-TW---S
12512,Train,BBK,Barabanki Jn,10:51,10:53,3006.0,1,-TW---S
12512,Train,GD,Gonda Jn,12:15,12:20,3095.0,1,-TW---S
12512,Train,MUR,Mankapur Jn,12:42,12:44,3123.0,1,-TW---S
12512,Train,BST,Basti,13:30,13:33,3184.0,1,-TW---S
12512,Train,KLD,Khalilabad,14:01,14:03,3214.0,1,-TW---S
12512,Train,GKP,Gorakhpur Jn,15:15,--,3248.0,1,-TW---S
12617,Train,ERS,Ernakulam Jn,--,10:30,0.0,1,MTWTFSS
12617,Train,AWY,Aluva,10:53,10:55,20.0,1,MTWTFSS
12617,Train,TCR,Thrisur,12:02,12:05,75.0,1,MTWTFSS
12617,Train,SRR,Shoranur Jn,12:55,13:00,107.0,1,MTWTFSS
12617,Train,PTB,Pattambi,13:14,13:15,119.0,1,MTWTFSS
12617,Train,KTU,Kuttippuram,13:34,13:35,137.0,1,MTWTFSS
12617,Train,TIR,Tirur,13:48,13:50,152.0,1,MTWTFSS
12617,Train,PGI,Parpanangadi,14:04,14:05,168.0,1,MTWTFSS
12617,Train,FK,Ferok,14:24,14:25,184.0,1,MTWTFSS
12617,Train,CLT,Kozhikkode,14:37,14:40,193.0,1,MTWTFSS
12617,Train,QLD,Quilandi,14:59,15:00,218.0,1,MTWTFSS
12617,Train,BDJ,Vadakara,15:16,15:18,240.0,1,MTWTFSS
12617,Train,TLY,Thalassery,15:28,15:30,262.0,1,MTWTFSS
12617,Train,CAN,Kannur,16:02,16:05,283.0,1,MTWTFSS
12617,Train,PAZ,Payangadi,16:28,16:30,304.0,1,MTWTFSS
12617,Train,PAY,Payyanur,16:44,16:45,316.0,1,MTWTFSS
12617,Train,NLE,Nileshwar,17:04,17:05,336.0,1,MTWTFSS
12617,Train,KZE,Kanhangad,17:14,17:15,345.0,1,MTWTFSS
12617,Train,KGQ,Kasaragod,17:29,17:30,368.0,1,MTWTFSS
12617,Train,MAJN,Mangaluru Jn,18:55,19:00,415.0,1,MTWTFSS
12617,Train,UD,Udupi,20:30,20:32,497.0,1,MTWTFSS
12617,Train,KUDA,Kundapura,21:08,21:10,546.0,1,MTWTFSS
12617,Train,BTJL,Bhatkal,22:08,22:10,610.0,1,MTWTFSS
12617,Train,KT,Kumta,22:56,22:58,691.0,1,MTWTFSS
12617,Train,KAWR,Karwar,23:52,23:54,764.0,1,MTWTFSS
12617,Train,MAO,Madgaon,01:10,01:20,846.0,1,MTWTFSS
12617,Train,THVM,Thivim,02:18,02:20,910.0,1,MTWTFSS
12617,Train,KKW,Kankavali,03:44,03:46,1024.0,1,MTWTFSS
12617,Train,RN,Ratnagiri,06:00,06:05,1180.0,1,MTWTFSS
12617,Train,CHI,Chiplun,07:50,07:52,1286.0,1,MTWTFSS
12617,Train,KHED,Khed,08:50,08:52,1332.0,1,MTWTFSS
12617,Train,PNVL,Panvel,12:27,12:30,1543.0,1,MTWTFSS
12617,Train,KYN,Kalyan Jn,13:27,13:30,1579.0,1,MTWTFSS
12617,Train,NK,Nashik Road,16:35,16:40,1713.0,1,MTWTFSS
12617,Train,MMR,Manmad Jn,17:33,17:35,1786.0,1,MTWTFSS
12617,Train,BSL,Bhusaval Jn,19:50,19:55,1970.0,1,MTWTFSS
12617,Train,BAU,Burhanpur,20:43,20:45,2025.0,1,MTWTFSS
12617,Train,KNW,Khandwa,22:17,22:20,2093.0,1,MTWTFSS
12617,Train,ET,Itarsi Jn,00:55,01:05,2277.0,1,MTWTFSS
12617,Train,BPL,Bhopal  Jn,02:50,02:55,2375.0,1,MTWTFSS
12617,Train,BINA,Bina Jn,04:45,04:50,2514.0,1,MTWTFSS
12617,Train,VGLJ,V Lakshmibai Jhansi Jhs,06:30,06:38,2666.0,1,MTWTFSS
12617,Train,GWL,Gwalior,07:50,07:52,2763.0,1,MTWTFSS
12617,Train,MRA,Morena,08:21,08:23,2802.0,1,MTWTFSS
12617,Train,AGC,Agra Cantt,09:55,10:00,2882.0,1,MTWTFSS
12617,Train,MTJ,Mathura Jn,10:33,10:38,2936.0,1,MTWTFSS
12617,Train,FDB,Faridabad,12:50,12:52,3048.0,1,MTWTFSS
12617,Train,NZM,H Nizamuddin,13:35,--,3069.0,1,MTWTFSS
12618,Train,NZM,H Nizamuddin,--,05:35,0.0,1,MTWTFSS
12618,Train,FDB,Faridabad,05:52,05:54,21.0,1,MTWTFSS
12618,Train,MTJ,Mathura Jn,07:40,07:45,134.0,1,MTWTFSS
12618,Train,AGC,Agra Cantt,08:20,08:25,188.0,1,MTWTFSS
12618,Train,MRA,Morena,10:03,10:05,268.0,1,MTWTFSS
12618,Train,GWL,Gwalior,10:31,10:33,306.0,1,MTWTFSS
12618,Train,VGLJ,V Lakshmibai Jhansi Jhs,12:00,12:08,403.0,1,MTWTFSS
12618,Train,BINA,Bina Jn,14:25,14:30,556.0,1,MTWTFSS
12618,Train,BPL,Bhopal  Jn,16:20,16:25,694.0,1,MTWTFSS
12618,Train,ET,Itarsi Jn,18:20,18:25,786.0,1,MTWTFSS
12618,Train,KNW,Khandwa,20:53,20:55,969.0,1,MTWTFSS
12618,Train,BAU,Burhanpur,21:43,21:45,1038.0,1,MTWTFSS
12618,Train,BSL,Bhusaval Jn,22:40,22:45,1093.0,1,MTWTFSS
12618,Train,MMR,Manmad Jn,01:03,01:05,1277.0,1,MTWTFSS
12618,Train,NK,Nashik Road,02:05,02:08,1350.0,1,MTWTFSS
12618,Train,KYN,Kalyan Jn,05:17,05:20,1484.0,1,MTWTFSS
12618,Train,PNVL,Panvel,06:30,06:35,1520.0,1,MTWTFSS
12618,Train,KHED,Khed,10:16,10:18,1735.0,1,MTWTFSS
12618,Train,CHI,Chiplun,11:00,11:02,1776.0,1,MTWTFSS
12618,Train,RN,Ratnagiri,12:40,12:45,1882.0,1,MTWTFSS
12618,Train,KKW,Kankavali,15:00,15:02,2038.0,1,MTWTFSS
12618,Train,THVM,Thivim,16:30,16:32,2152.0,1,MTWTFSS
12618,Train,MAO,Madgaon,17:50,18:00,2217.0,1,MTWTFSS
12618,Train,KAWR,Karwar,19:00,19:02,2299.0,1,MTWTFSS
12618,Train,KT,Kumta,19:48,19:50,2376.0,1,MTWTFSS
12618,Train,BTJL,Bhatkal,20:48,20:50,2452.0,1,MTWTFSS
12618,Train,KUDA,Kundapura,21:40,21:42,2521.0,1,MTWTFSS
12618,Train,UD,Udupi,22:10,22:12,2566.0,1,MTWTFSS
12618,Train,MAJN,Mangaluru Jn,23:35,23:40,2647.0,1,MTWTFSS
12618,Train,KGQ,Kasaragod,00:33,00:35,2695.0,1,MTWTFSS
12618,Train,NLE,Nileshwar,01:04,01:05,2727.0,1,MTWTFSS
12618,Train,PAY,Payyanur,01:24,01:25,2747.0,1,MTWTFSS
12618,Train,CAN,Kannur,02:07,02:10,2780.0,1,MTWTFSS
12618,Train,TLY,Thalassery,02:28,02:30,2801.0,1,MTWTFSS
12618,Train,BDJ,Vadakara,02:49,02:50,2823.0,1,MTWTFSS
12618,Train,QLD,Quilandi,03:09,03:10,2845.0,1,MTWTFSS
12618,Train,CLT,Kozhikkode,03:32,03:35,2869.0,1,MTWTFSS
12618,Train,TIR,Tirur,04:28,04:30,2910.0,1,MTWTFSS
12618,Train,PTB,Pattambi,04:59,05:00,2944.0,1,MTWTFSS
12618,Train,SRR,Shoranur Jn,05:15,05:20,2955.0,1,MTWTFSS
12618,Train,TCR,Thrisur,06:05,06:08,2988.0,1,MTWTFSS
12618,Train,AWY,Aluva,06:58,07:00,3043.0,1,MTWTFSS
12618,Train,ERS,Ernakulam Jn,08:00,--,3062.0,1,MTWTFSS
12623,Train,MAS,Mgr Chennai Ctl,--,19:30,0.0,1,MTWTFSS
